N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"66,700","1,300",-1.91%,100,"3,981,845","5,969,783",53.08,"14,588,126",12.73,17.07,
2,LG에너지솔루션,"399,500","10,000",-2.44%,500,"934,830","234,000",4.55,"498,330",67.77,5.75,
3,SK하이닉스,"120,000","7,500",-5.88%,"5,000","873,603","728,002",52.15,"5,822,096",-10.66,3.56,
4,삼성바이오로직스,"729,000","6,000",+0.83%,"2,500","518,858","71,174",10.21,"136,873",62.84,11.42,
5,삼성전자우,"54,000",800,-1.46%,100,"444,359","822,887",72.51,"880,084",10.31,N/A,
6,현대차,"179,500","2,500",-1.37%,"5,000","379,699","211,532",33.27,"633,935",5.20,9.36,
7,POSCO홀딩스,"421,500","24,000",-5.39%,"5,000","356,468","84,571",26.99,"1,620,251",28.41,6.11,
8,기아,"81,000","1,000",-1.22%,"5,000","325,656","402,044",38.69,"1,069,279",4.41,14.57,
9,LG화학,"426,000","32,000",-6.99%,"5,000","300,723","70,592",44.01,"674,167",22.28,6.95,
10,NAVER,"181,900","7,200",-3.81%,100,"298,405","164,049",46.78,"732,815",40.96,3.29,
11,삼성SDI,"423,000","22,500",-5.05%,"5,000","290,874","68,765",47.13,"776,671",14.15,12.52,
12,셀트리온,"149,700",400,-0.27%,"1,000","219,165","146,403",19.79,"510,358",39.92,13.35,
13,KB금융,"53,300","1,100",-2.02%,"5,000","215,071","403,511",72.91,"918,848",4.69,9.17,
14,현대모비스,"216,000","5,000",-2.26%,"5,000","203,656","94,285",38.07,"171,731",6.86,6.80,
15,포스코퓨처엠,"249,500","24,500",-8.94%,500,"193,271","77,463",6.49,"1,703,836",156.92,4.87,
16,삼성물산,"103,700","1,900",-1.80%,100,"192,459","185,592",18.82,"211,761",8.76,7.16,
17,신한지주,"35,050",300,-0.85%,"5,000","180,684","515,504",59.80,"596,966",4.06,9.70,
18,LG전자,"105,300","3,200",-2.95%,"5,000","172,321","163,648",29.48,"568,843",46.43,6.61,
19,카카오,"37,650","1,300",-3.34%,100,"167,349","444,485",25.71,"2,037,558",143.70,13.54,
20,삼성생명,"72,600",200,+0.28%,500,"145,200","200,000",17.05,"250,723",6.81,5.73,
21,SK이노베이션,"124,700","8,300",-6.24%,"5,000","125,517","100,656",21.51,"996,799",-14.02,8.49,
22,LG,"78,500","1,700",-2.12%,"5,000","123,481","157,301",36.25,"132,579",11.97,8.48,
23,삼성화재,"258,500","1,000",-0.39%,500,"122,464","47,375",53.28,"69,578",7.70,9.70,
24,하나금융지주,"41,800",750,-1.76%,"5,000","122,205","292,357",68.76,"759,640",3.22,10.06,
25,KT&G,"86,200",700,-0.81%,"5,000","115,355","133,822",42.34,"200,863",13.40,11.00,
26,SK텔레콤,"49,250",450,-0.91%,100,"107,775","218,833",41.43,"511,648",10.10,7.97,
27,한국전력,"16,370",160,-0.97%,"5,000","105,090","641,964",14.01,"850,662",-0.51,-46.91,
28,SK,"140,800","2,200",-1.54%,200,"103,063","73,198",22.37,"133,146",-11.15,5.13,
29,메리츠금융지주,"49,400","1,100",-2.18%,500,"102,860","208,218",16.60,"328,658",4.72,30.32,
30,삼성에스디에스,"128,800","3,300",-2.50%,500,"99,663","77,378",15.74,"70,972",9.87,14.23,
31,고려아연,"463,500","13,000",-2.73%,"5,000","96,911","20,909",18.69,"30,966",15.44,9.38,
32,HD현대중공업,"107,800","6,900",-6.02%,"5,000","95,697","88,773",7.31,"349,820",-88.65,-6.47,
33,카카오뱅크,"19,510",940,-4.60%,"5,000","93,017","476,767",15.31,"1,306,412",28.78,4.68,
34,우리금융지주,"12,200",170,-1.37%,"5,000","92,785","760,535",36.42,"1,392,983",3.04,11.51,
35,삼성전기,"124,100","18,900",-13.22%,"5,000","92,695","74,694",31.57,"1,287,955",15.84,13.76,
36,포스코인터내셔널,"52,500","3,800",-6.75%,"5,000","92,359","175,923",6.25,"2,514,902",12.96,15.79,
37,기업은행,"11,560",160,-1.37%,"5,000","92,182","797,426",14.28,"869,449",3.14,9.85,
38,두산에너빌리티,"13,630",430,-3.06%,"5,000","87,308","640,561",12.77,"2,566,827",-23.95,-11.70,
39,하이브,"204,000","24,500",-10.72%,500,"84,970","41,652",16.92,"880,610",132.64,1.87,
40,KT,"32,400",50,+0.15%,"5,000","83,547","257,861",42.63,"552,495",6.87,7.99,
41,크래프톤,"163,100","1,700",-1.03%,100,"78,880","48,363",31.78,"107,301",17.51,10.29,
42,S-Oil,"68,700","1,100",-1.58%,"2,500","77,344","112,583",76.89,"339,290",17.33,27.20,
43,대한항공,"19,590",300,-1.51%,"5,000","72,134","368,221",16.01,"623,649",5.42,21.95,
44,HMM,"14,420",430,-2.90%,"5,000","70,519","489,039",12.32,"1,667,268",1.52,64.98,
45,TIGER CD금리투자KIS(합성),"53,230",25,+0.05%,0,"70,248","131,970",0.02,"145,381",N/A,N/A,
46,아모레퍼시픽,"118,500",300,-0.25%,500,"69,314","58,493",25.19,"288,590",52.04,2.81,
47,HD한국조선해양,"96,900","2,500",-2.52%,"5,000","68,579","70,773",25.29,"268,712",165.92,-2.22,
48,삼성중공업,"7,360",240,-3.16%,"1,000","64,768","880,000",20.09,"4,403,751",-14.63,-16.08,
49,현대글로비스,"170,800","1,100",-0.64%,500,"64,050","37,500",48.25,"51,909",5.50,18.78,
50,LG생활건강,"391,000","8,500",-2.13%,"5,000","61,067","15,618",32.01,"77,220",36.79,4.41,
51,DB손해보험,"85,800",600,-0.69%,500,"60,746","70,800",46.53,"157,864",4.32,16.45,
52,SK스퀘어,"42,950",800,-1.83%,100,"59,692","138,981",45.10,"282,887",-3.23,1.55,
53,SK바이오팜,"75,400","1,800",-2.33%,500,"59,048","78,313",7.24,"93,324",-69.88,-36.66,
54,롯데케미칼,"135,100","4,100",-2.95%,"5,000","57,790","42,775",25.19,"86,342",-101.05,0.43,
55,KODEX 200,"31,025",815,-2.56%,0,"56,993","183,700",2.17,"4,559,076",N/A,N/A,
56,한미반도체,"58,100","1,400",-2.35%,100,"56,554","97,339",11.08,"1,511,052",28.05,25.04,
57,한화오션,"24,650",750,-2.95%,"5,000","53,459","216,873",3.34,"780,998",-2.30,-117.79,
